cve,repo,commit
CVE-2010-1152,memcached_memcached,d9cd01ede97f4145af9781d448c62a3318952719
CVE-2010-1152,memcached_memcached,75cc83685e103bc8ba380a57468c8f04413033f9
CVE-2010-2447,sitaramc_gitolite,5fd9328c1cd1e7c576b6530b3253061c68b159aa
CVE-2010-2447,sitaramc_gitolite,1e06fea3b6959faeb72d8dca46cd4753ada48637
CVE-2010-4254,mono_mono,65292a69c837b8a5f7a392d34db63de592153358
CVE-2010-4254,mono_mono,cf1ec146f7c6acdc6697032b3aaafc68ffacdcac
CVE-2010-4254,mono_mono,4905ef1130feb26c3150b28b97e4a96752e0d399
CVE-2010-4802,kraih_mojo,b3a1fb453eda447c0bb082cd9eed81bb75a7564a
CVE-2010-4802,kraih_mojo,aa7c8da54b1ebd4ccb64aa66dede7b7cdb381c44
CVE-2010-5328,torvalds_linux,fa2755e20ab0c7215d99c2dc7c262e98a09b01df
CVE-2010-5328,torvalds_linux,f20011457f41c11edb5ea5038ad0c8ea9f392023
CVE-2010-5328,torvalds_linux,f106eee10038c2ee5b6056aaf3f6d5229be6dcdd
CVE-2011-0991,mono_mono,3f8ee42b8c867d9a4c18c22657840d072cca5c3a
CVE-2011-0991,mono_mono,89d1455a80ef13cddee5d79ec00c06055da3085c
CVE-2011-0991,mono_mono,8eb1189099e02372fd45ca1c67230eccf1edddc0
CVE-2011-1007,bestpractical_rt,917c211820590950f7eb0521f7f43b31aeed44c4
CVE-2011-1007,bestpractical_rt,057552287159e801535e59b8fbd5bd98d1322069
CVE-2011-3188,torvalds_linux,bc0b96b54a21246e377122d54569eef71cec535f
CVE-2011-3188,torvalds_linux,6e5714eaf77d79ae1c8b47e3e040ff5411b717ec
CVE-2011-3211,solj_bcfg2,46795ae451ca6ede55a0edeb726978aef4684b53
CVE-2011-3211,solj_bcfg2,f4a35efec1b6a1e54d61cf1b8bfc83dd1d89eef7
CVE-2011-3346,bonzini_qemu,7285477ab11831b1cf56e45878a89170dd06d9b9
CVE-2011-3346,bonzini_qemu,103b40f51e4012b3b0ad20f615562a1806d7f49a
CVE-2011-3357,mantisbt_mantisbt,6ede60d3db9e202044f135001589cce941ff6f0f
CVE-2011-3357,mantisbt_mantisbt,5b93161f3ece2f73410c296fed8522f6475d273d
CVE-2011-3578,mantisbt_mantisbt,6ede60d3db9e202044f135001589cce941ff6f0f
CVE-2011-3578,mantisbt_mantisbt,5b93161f3ece2f73410c296fed8522f6475d273d
CVE-2011-4127,torvalds_linux,ec8013beddd717d1740cfefb1a9b900deef85462
CVE-2011-4127,torvalds_linux,0bfc96cb77224736dfa35c3c555d37b3646ef35e
CVE-2011-4802,Dolibarr_dolibarr,c539155d6ac2f5b6ea75b87a16f298c0090e535a
CVE-2011-4802,Dolibarr_dolibarr,d08d28c0cda1f762a47cc205d4363de03df16675
CVE-2011-4802,Dolibarr_dolibarr,63820ab37537fdff842539425b2bf2881f0d8e91
CVE-2011-4802,Dolibarr_dolibarr,762f98ab4137749d0993612b4e3544a4207e78a1
CVE-2011-4814,Dolibarr_dolibarr,d08d28c0cda1f762a47cc205d4363de03df16675
CVE-2011-4814,Dolibarr_dolibarr,c539155d6ac2f5b6ea75b87a16f298c0090e535a
CVE-2011-4814,Dolibarr_dolibarr,63820ab37537fdff842539425b2bf2881f0d8e91
CVE-2011-4814,Dolibarr_dolibarr,762f98ab4137749d0993612b4e3544a4207e78a1
CVE-2011-4958,silverstripe_sapphire,16c3235
CVE-2011-4958,silverstripe_sapphire,bdd6391
CVE-2011-4958,silverstripe_sapphire,52a895f
CVE-2011-4959,silverstripe_sapphire,ca78784
CVE-2011-4959,silverstripe_sapphire,73cca09
CVE-2012-0038,torvalds_linux,fa8b18edd752a8b4e9d1ee2cd615b82c93cf8bba
CVE-2012-0038,torvalds_linux,093019cf1b18dd31b2c3b77acce4e000e2cbc9ce
CVE-2012-0207,torvalds_linux,a8c1f65c79cbbb2f7da782d4c9d15639a9b94b27
CVE-2012-0207,torvalds_linux,25c413ad0029ea86008234be28aee33456e53e5b
CVE-2012-0879,torvalds_linux,61cc74fbb87af6aa551a06a370590c9bc07e29d9
CVE-2012-0879,torvalds_linux,b69f2292063d2caf37ca9aec7d63ded203701bf3
CVE-2012-1119,mantisbt_mantisbt,cf5df427f17cf9204645f83e000665780eb9afe6
CVE-2012-1119,mantisbt_mantisbt,dea7e315f3fc96dfa995e56e8810845fc07a47aa
CVE-2012-1208,forkcms_forkcms,df75e0797a6540c4d656969a2e7df7689603b2cf
CVE-2012-1208,forkcms_forkcms,8fa74dd3e2e32723cd121177dce6aeac37e29df6
CVE-2012-1208,forkcms_forkcms,d65c083adc91c88d21bd9a0df4c2688df634c6ff
CVE-2012-1209,forkcms_forkcms,df75e0797a6540c4d656969a2e7df7689603b2cf
CVE-2012-1209,forkcms_forkcms,c8ec9c58a6b3c46cdd924532c1de99bcda6072ed
CVE-2012-1571,glensc_file,1aec04dbf8a24b8a6ba64c4f74efa0628e36db0b
CVE-2012-1571,glensc_file,1859fdb4e67c49c463c4e0078054335cd46ba295
CVE-2012-1617,osclass_OSClass,1e7626f4e1a26371480989c0b937f107ea9a6d4b
CVE-2012-1617,osclass_OSClass,a40b76695994442644e46e1b776d79660500566a
CVE-2012-1617,osclass_OSClass,ff7ef8a97301aaaf6a97fe46c2c27981a86b4e2f
CVE-2012-2140,mikel_mail,ac56f03bdfc30b379aeecd4ff317d08fdaa328c2
CVE-2012-2140,mikel_mail,39b590ddb08f90ddbe445837359a2c8843e533d0
CVE-2012-2654,openstack_nova,9f9e9da777161426a6f8cb4314b78e09beac2978
CVE-2012-2654,openstack_nova,ff06c7c885dc94ed7c828e8cdbb8b5d850a7e654
CVE-2012-2673,ivmai_bdwgc,83231d0ab5ed60015797c3d1ad9056295ac3b2bb
