cve,repo,commit
CVE-2006-5331,torvalds_linux,6c4841c2b6c32a134f9f36e5e08857138cc12b10
CVE-2010-3696,alandekok_freeradius-server,4dc7800b866f889a1247685bbaa6dd4238a56279
CVE-2010-4250,torvalds_linux,a2ae4cc9a16e211c8a128ba10d22a85431f093ab
CVE-2010-4329,phpmyadmin_phpmyadmin,4341818d73d454451f024950a4ce0141608ac7f8
CVE-2011-0987,phpmyadmin_phpmyadmin,a5464b4daff0059cdf8c9e5f4d54a80e2dd2a5b0
CVE-2011-0989,mono_mono,035c8587c0d8d307e45f1b7171a0d337bb451f1e
CVE-2011-1768,torvalds_linux,d5aa407f59f5b83d2c50ec88f5bf56d40f1f8978
CVE-2011-1927,torvalds_linux,64f3b9e203bd06855072e295557dca1485a2ecba
CVE-2011-2161,FFmpeg_FFmpeg,8312e3fc9041027a33c8bc667bb99740fdf41dd5
CVE-2011-2210,torvalds_linux,21c5977a836e399fc710ff2c5367845ed5c2527f
CVE-2011-2479,torvalds_linux,78f11a255749d09025f54d4e2df4fbcb031530e2
CVE-2011-2495,torvalds_linux,1d1221f375c94ef961ba8574ac4f85c8870ddd51
CVE-2011-2496,torvalds_linux,982134ba62618c2d69fbbbd166d0a11ee3b7e3d8
CVE-2011-2517,torvalds_linux,208c72f4fe44fe09577e7975ba0e7fa0278f3d03
CVE-2011-3359,torvalds_linux,c85ce65ecac078ab1a1835c87c4a6319cf74660a
CVE-2011-3363,torvalds_linux,70945643722ffeac779d2529a348f99567fa5c33
CVE-2011-3941,FFmpeg_FFmpeg,c77be3a35a0160d6af88056b0899f120f2eef38e
CVE-2011-4348,torvalds_linux,ae53b5bd77719fed58086c5be60ce4f22bffe1c6
CVE-2011-4579,FFmpeg_FFmpeg,6e24b9488e67849a28e64a8056e05f83cf439229
CVE-2012-0807,stefanesser_suhosin,73b1968ee30f6d9d2dae497544b910e68e114bfa
CVE-2012-0853,FFmpeg_FFmpeg,9af6abdc17deb95c9b1f1d9242ba49b8b5e0b016
CVE-2012-1583,torvalds_linux,d0772b70faaf8e9f2013b6c4273d94d5eac8047a
CVE-2012-2121,torvalds_linux,09ca8e1173bcb12e2a449698c9ae3b86a8a10195
CVE-2012-2133,torvalds_linux,90481622d75715bfcb68501280a917dbfe516029
CVE-2012-2319,torvalds_linux,6f24f892871acc47b40dd594c63606a17c714f77
CVE-2012-2383,torvalds_linux,ed8cd3b2cd61004cab85380c52b1817aca1ca49b
CVE-2012-2674,android_platform_bionic,7f5aa4f35e23fd37425b3a5041737cdf58f87385
CVE-2012-2777,FFmpeg_FFmpeg,25715064c2ef4978672a91f8c856f3e8809a7c45
CVE-2012-2779,FFmpeg_FFmpeg,229e4c133287955d5f3f837520a3602709b21950
CVE-2012-2786,FFmpeg_FFmpeg,d1c95d2ce39560e251fdb14f4af91b04fd7b845c
CVE-2012-2787,FFmpeg_FFmpeg,01bf2ad7351fdaa2e21b6bdf963d22d6ffccb920
CVE-2012-3412,torvalds_linux,68cb695ccecf949d48949e72f8ce591fdaaa325c
CVE-2012-3501,darold_squidclamav,80f74451f628264d1d9a1f1c0bbcebc932ba5e00
CVE-2012-3520,torvalds_linux,e0e3cea46d31d23dc40df0a49a7a2c04fe8edfea
CVE-2012-4467,torvalds_linux,ed6fe9d614fc1bca95eb8c0ccd0e92db00ef9d5d
CVE-2012-5374,torvalds_linux,9c52057c698fb96f8f07e7a4bcf4801a092bda89
CVE-2012-6084,atheme_charybdis,ac0707aa61d9c20e9b09062294701567c9f41595
CVE-2012-6538,torvalds_linux,4c87308bdea31a7b4828a51f6156e6f721a1fcc9
CVE-2013-0310,torvalds_linux,89d7ae34cdda4195809a5a987f697a517a2a3177
CVE-2013-0853,FFmpeg_FFmpeg,be818df547c3b0ae4fadb50fd210139a8636706a
