cve,commit1,commit2,prediction,label,label1,label2
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,1157c1ecea395aac7f64cd8a6f484b1225416dc7,0.998857,1,1,1
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,749f6aee1bfbcf191c3734ea0aa9eba3aa63240e,0.9986405,1,1,1
CVE-2023-50723,bd82be936c21b65dee367d558e3050b9b6995713,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,0.9829762,1,1,1
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,9efa051e3eabd97fc84bab25a6240ceab0966889,1.127308e-05,0,1,0
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,bb4259a1080a4aef25bcb6886a2369867a922e3c,1.8224791e-06,0,1,0
CVE-2023-50723,32545f485cfa620b703be3e918d037b46937f40f,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,3.4358204e-17,0,0,1
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,1fb12d2780f37b34a1b4dfdf8457d97ce5cbb2df,5.2952737e-07,0,1,0
CVE-2023-50723,499902c1f158ff99d002f69836a46f9a9a0ab298,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,2.140947e-10,0,0,1
CVE-2023-50723,1314958cc15d558c625dda2a19790fb9ccd91bb4,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,1.5388864e-11,0,0,1
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,54bcc5a7a2e440cc591b91eece9c13dc0c487331,4.7455473e-05,0,1,0
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,b7ffa88566e3516b6bc6a55bfbfbb5dc9a85d4db,0.000980085,0,1,0
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,31f6b2a55d83c09d8c582f81f834fb568d9eb851,9.727222e-07,0,1,0
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,45ef3b0e0f8c6059f5a34b6b406c3a019bff2d0b,9.441305e-06,0,1,0
CVE-2023-50723,e995f4c48bc88194ad6f25246aee08bd1d147f71,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,0.000999696,0,0,1
CVE-2023-50723,5e8725b4272cd3e5be09d3ca84273be2da6869c1,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,0.003478791,0,0,1
CVE-2023-50723,678162df95e0cf5b6a9d6a3f7297164c046a8d59,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,3.3583249e-06,0,0,1
CVE-2023-50723,728e4b75ce5ed98f2234fd639ff693067f9536a2,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,4.456758e-05,0,0,1
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,bb462c2a7bf91f33da8f88e54613954c75d091db,0.000615802,0,1,0
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,efa563ceb9d0884df76f420d9ddb78afe8fdcc9a,0.003755489,0,1,0
CVE-2023-50723,3cb2454580508edacbe60dbd97af7aff0bce136a,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,1.1239481e-06,0,0,1
CVE-2023-50723,cb9b18c7348e417aac83d97b3b4ec4acf86164a2,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,0.028359022,0,0,1
CVE-2023-50723,0f367aaae4e0696f61cf5a67a75edd27d1d16db6,9018335bd9bef49d8e54a98345ed390b82a837af,0.02313619,0,1,0
